Nombre;Carrera;Puntaje;Admitido;PuntajeAdicional;PuntajeTotal;SolicitudBeca
Carlos Garcia;Fisiorehabilitacion;96;Si;0;96;No;
Ricardo Perez;Fisiorehabilitacion;93;Si;0;93;No;
Nayeli Flores;Fisiorehabilitacion;90;Si;0;90;No;
Irene Sanchez;Fisiorehabilitacion;92;Si;0;92;No;
Pablo Sanchez;Fisiorehabilitacion;95;Si;0;95;No;
Manuel Flores;Fisiorehabilitacion;90;Si;0;90;No;
Pedro Torres;Fisiorehabilitacion;95;Si;0;95;No;
Diego Lopez;Fisiorehabilitacion;92;Si;0;92;No;
Pablo Gonzalez;Fisiorehabilitacion;95;Si;0;95;No;
Ricardo Lopez;Fisiorehabilitacion;90;Si;0;90;No;
Brayan Sanchez;Fisiorehabilitacion;93;Si;0;93;No;
Carlos Torres;Fisiorehabilitacion;99;Si;0;99;No;
Pedro Lopez;Fisiorehabilitacion;90;Si;0;90;No;
Pablo Perez;Fisiorehabilitacion;93;Si;0;93;No;
Juan Perez;Fisiorehabilitacion;96;Si;0;96;No;
Eimer Torres;Fisiorehabilitacion;96;Si;0;96;No;
Irene Lopez;Fisiorehabilitacion;99;Si;0;99;No;
Irene Ramirez;Fisiorehabilitacion;92;Si;0;92;No;
Juan Ramirez;Fisiorehabilitacion;97;Si;0;97;No;
Paula Ramirez;Fisiorehabilitacion;98;Si;0;98;No;
Manuel Sanchez;Fisiorehabilitacion;92;Si;0;92;No;
Eimer Sanchez;Fisiorehabilitacion;97;Si;0;97;No;
Nayeli Martinez;Fisiorehabilitacion;94;Si;0;94;No;
Pablo Martinez;Fisiorehabilitacion;92;Si;0;92;No;
Diego Sanchez;Fisiorehabilitacion;97;Si;0;97;No;
Eimer Sanchez;Fisiorehabilitacion;100;Si;0;100;No;
Juan Perez;Fisiorehabilitacion;94;Si;0;94;No;
Eimer Martinez;Fisiorehabilitacion;97;Si;0;97;No;
Eimer Sanchez;Fisiorehabilitacion;90;Si;0;90;No;
Pablo Perez;Fisiorehabilitacion;97;Si;0;97;No;
Eimer Garcia;Fisiorehabilitacion;97;Si;0;97;No;
Ricardo Ramirez;Fisiorehabilitacion;96;Si;0;96;No;
Pedro Martinez;Fisiorehabilitacion;98;Si;0;98;No;
Ricardo Hernandez;Fisiorehabilitacion;92;Si;0;92;No;
Pedro Sanchez;Fisiorehabilitacion;95;Si;0;95;No;
Nayeli Flores;Fisiorehabilitacion;92;Si;0;92;No;
