Nombre;Carrera;Puntaje;Admitido;PuntajeAdicional;PuntajeTotal;SolicitudBeca
Paula Garcia;Medicina;98;Si;0;98;Si;
Manuel Sanchez;Medicina;87;Si;1;88;No;
Diego Hernandez;Medicina;87;Si;0;87;No;
Pablo Flores;Medicina;100;Si;0;100;Si;
Juan Garcia;Medicina;95;Si;0;95;Si;
Ricardo Garcia;Medicina;87;Si;0;87;No;
Irene Sanchez;Medicina;98;Si;0;98;Si;
Brayan Lopez;Medicina;100;Si;0;100;Si;
Diego Sanchez;Medicina;93;Si;0;93;No;
Eimer Perez;Medicina;98;Si;0;98;Si;
Paula Sanchez;Medicina;91;Si;0;91;No;
Brayan Garcia;Medicina;88;Si;1;89;No;
Ricardo Hernandez;Medicina;87;Si;0;87;No;
Eimer Ramirez;Medicina;86;Si;0;86;No;
Pablo Gonzalez;Medicina;88;Si;0;88;No;
Pedro Flores;Medicina;91;Si;5;96;No;
Marco Garcia;Medicina;100;Si;0;100;Si;
Marco Sanchez;Medicina;96;Si;0;96;Si;
Pedro Flores;Medicina;91;Si;0;91;No;
Paula Torres;Medicina;94;Si;3;97;No;
Marco Flores;Medicina;91;Si;1;92;No;
Diego Gonzalez;Medicina;93;Si;5;98;No;
Nayeli Ramirez;Medicina;86;Si;5;91;No;
Marco Lopez;Medicina;89;Si;1;90;No;
Nayeli Gonzalez;Medicina;97;Si;0;97;Si;
Marco Torres;Medicina;95;Si;0;95;Si;
Irene Gonzalez;Medicina;92;Si;0;92;No;
Carlos Flores;Medicina;87;Si;1;88;No;
Nayeli Sanchez;Medicina;97;Si;0;97;Si;
Pablo Hernandez;Medicina;98;Si;0;98;Si;
Manuel Garcia;Medicina;90;Si;0;90;No;
Manuel Flores;Medicina;88;Si;5;93;No;
Diego Garcia;Medicina;85;Si;0;85;No;
Brayan Torres;Medicina;92;Si;5;97;No;
Nayeli Lopez;Medicina;91;Si;0;91;No;
Diego Gonzalez;Medicina;97;Si;0;97;Si;
Eimer Perez;Medicina;96;Si;0;96;Si;
Marco Hernandez;Medicina;93;Si;5;98;No;
Ricardo Ramirez;Medicina;92;Si;0;92;No;
Carlos Garcia;Medicina;92;Si;5;97;No;
Nayeli Hernandez;Medicina;85;Si;0;85;No;
Juan Hernandez;Medicina;95;Si;0;95;Si;
Juan Martinez;Medicina;97;Si;0;97;Si;
Brayan Hernandez;Medicina;100;Si;0;100;Si;
Diego Sanchez;Medicina;97;Si;0;97;Si;
Juan Hernandez;Medicina;91;Si;6;97;No;
Manuel Torres;Medicina;87;Si;0;87;No;
Irene Martinez;Medicina;99;Si;0;99;Si;
Marco Sanchez;Medicina;93;Si;0;93;No;
Pablo Sanchez;Medicina;85;Si;2;87;No;
Manuel Ramirez;Medicina;95;Si;0;95;Si;
